"country","freedomRank","personalFreedomIndex","economicFreedomIndex","humanFreedomIndex"
"New Zealand","1","9.2800","8.4900","8.8900"
"Switzerland","2","9.1900","8.3900","8.7900"
"Hong Kong","3","8.5800","8.9700","8.7800"
"Australia","4","9.1800","7.9800","8.5800"
"Canada","5","9.1500","7.9800","8.5700"
"Netherlands","6","9.4000","7.7100","8.5500"
"Denmark","6","9.3300","7.7700","8.5500"
"United Kingdom","8","9","8","8.5000"
"Ireland","8","8.9400","8.0700","8.5000"
"Taiwan","10","9.0400","7.8900","8.4700"
"Finland","10","9.2900","7.6500","8.4700"
"Norway","10","9.3400","7.6000","8.4700"
"Germany","13","9.2400","7.6900","8.4600"
"Estonia","14","9.0100","7.8600","8.4400"
"Luxembourg","15","9.2600","7.6000","8.4300"
"Austria","16","9.2500","7.5800","8.4100"
"United States","17","8.7500","8.0300","8.3900"
"Sweden","17","9.3300","7.4400","8.3900"
"Malta","19","8.9800","7.7300","8.3500"
"Lithuania","20","8.8200","7.8600","8.3400"
"Czech Republic","21","9.0300","7.5600","8.2900"
"Portugal","22","9.0400","7.5100","8.2800"
"Latvia","23","8.8500","7.6400","8.2500"
"Romania","24","8.6500","7.6900","8.1700"
"Spain","25","8.7600","7.5600","8.1600"
"Singapore","25","7.4800","8.8400","8.1600"
"South Korea","27","8.7700","7.5300","8.1500"
"Belgium","27","8.9900","7.3200","8.1500"
"Iceland","27","9.0800","7.2200","8.1500"
"Cyprus","30","8.5100","7.7100","8.1100"
"Japan","31","8.7300","7.4700","8.1000"
"France","32","8.7700","7.2500","8.0100"
"Chile","32","8.2200","7.8000","8.0100"
"Italy","34","8.6900","7.2700","7.9800"
"Slovenia","35","8.8200","7.0500","7.9400"
"Slovakia","36","8.5400","7.3000","7.9200"
"Costa Rica","37","8.1700","7.5500","7.8600"
"Mauritius","37","7.7200","8.0100","7.8600"
"Poland","39","8.3500","7.2700","7.8100"
"Georgia","40","7.5800","8.0200","7.8000"
"Bulgaria","41","8.1600","7.4100","7.7800"
"Hungary","42","8.2600","7.2200","7.7400"
"Uruguay","43","8.3000","7.1600","7.7300"
"Croatia","44","8.4600","6.9600","7.7100"
"Mongolia","45","8","7.4000","7.7000"
"Panama","46","7.7200","7.5800","7.6500"
"Peru","47","7.7200","7.4300","7.5800"
"Albania","48","7.6000","7.5400","7.5700"
"Israel","49","7.5400","7.4900","7.5200"
"Bahamas","50","7.4500","7.3400","7.4000"
"Serbia","51","7.8500","6.8500","7.3500"
"Montenegro","52","7.6300","7.0400","7.3400"
"Cape Verde","53","7.9900","6.6800","7.3300"
"Seychelles","54","7.3700","7.2300","7.3000"
"Fiji","55","7.7900","6.7900","7.2900"
"Macedonia","56","7.4100","7.1300","7.2700"
"Ghana","57","7.8700","6.6000","7.2400"
"Armenia","57","6.9100","7.5700","7.2400"
"Bosnia and Herzegovina","59","7.8600","6.6000","7.2300"
"Jamaica","60","7.2700","7.1800","7.2200"
"Cambodia","61","7.2400","7.1700","7.2000"
"Greece","61","7.9500","6.4600","7.2000"
"South Africa","63","7.7000","6.6500","7.1700"
"Botswana","64","6.8800","7.4300","7.1500"
"Belize","64","7.4300","6.8600","7.1500"
"Guatemala","66","6.5500","7.6400","7.0900"
"Suriname","67","7.7900","6.3600","7.0700"
"Barbados","67","7.7100","6.4300","7.0700"
"Dominican Republic","69","6.9400","7.1800","7.0600"
"El Salvador","70","6.9200","7.1500","7.0300"
"Rwanda","71","6.4700","7.4800","6.9700"
"Paraguay","72","6.9700","6.9500","6.9600"
"Philippines","73","6.5000","7.3400","6.9200"
"Namibia","74","7.3900","6.4000","6.9000"
"Mexico","75","6.8000","6.9000","6.8500"
"Haiti","75","7.1800","6.5100","6.8500"
"Jordan","75","6.2400","7.4600","6.8500"
"Nicaragua","75","6.4300","7.2700","6.8500"
"Moldova","75","7.0600","6.6400","6.8500"
"Bahrain","75","6.1400","7.5600","6.8500"
"Trinidad and Tobago","81","6.9200","6.7300","6.8300"
"Kenya","82","6.4500","7.2000","6.8200"
"Ecuador","83","7.5500","6.0600","6.8100"
"Bhutan","83","6.6000","7.0200","6.8100"
"Indonesia","85","6.3800","7.1600","6.7700"
"Uganda","85","6.1300","7.4100","6.7700"
"Colombia","87","7.0200","6.5000","6.7600"
"Burkina Faso","88","7.4600","6.0500","6.7500"
"Papua New Guinea","88","7.2500","6.2500","6.7500"
"Kazakhstan","90","6.3800","7.1100","6.7400"
"Benin","90","7.5000","5.9800","6.7400"
"Nepal","92","6.9100","6.5300","6.7200"
"Bolivia","92","7.2100","6.2300","6.7200"
"Honduras","92","6.3900","7.0600","6.7200"
"Lebanon","95","6.4300","6.9900","6.7100"
"Guyana","96","7.0400","6.3100","6.6800"
"Malawi","97","7.4500","5.8600","6.6500"
"Thailand","98","6.4000","6.8500","6.6200"
"Kyrgyzstan","99","6.2500","6.9300","6.5900"
"Ivory Coast","100","7.0600","6","6.5300"
"Lesotho","100","6.6900","6.3800","6.5300"
"Tanzania","102","6.1300","6.9200","6.5200"
"Madagascar","103","6.8400","6.1900","6.5100"
"Qatar","103","5.5300","7.4900","6.5100"
"Senegal","105","6.7700","6.2200","6.5000"
"Liberia","106","6.4000","6.5600","6.4800"
"Turkey","107","6.0900","6.8400","6.4700"
"Argentina","107","8.1000","4.8400","6.4700"
"Tunisia","109","6.5800","6.2900","6.4300"
"India","110","6.2000","6.6300","6.4100"
"Malaysia","110","5.9000","6.9200","6.4100"
"Sierra Leone","112","7.0400","5.7500","6.4000"
"Laos","113","5.8600","6.9100","6.3900"
"Timor-Leste","114","6.1900","6.5500","6.3700"
"Gambia","115","5.3000","7.3400","6.3200"
"Zambia","116","6.0100","6.6100","6.3100"
"United Arab Emirates","117","5.0700","7.5000","6.2900"
"Ukraine","118","6.5900","5.9800","6.2800"
"Russia","119","5.7100","6.8300","6.2700"
"Sri Lanka","119","6.0400","6.4900","6.2700"
"Togo","119","6.7300","5.8200","6.2700"
"Swaziland","122","6.0200","6.4600","6.2400"
"Brazil","123","6.6700","5.7500","6.2100"
"Vietnam","124","5.9700","6.4200","6.1900"
"Tajikistan","124","5.6500","6.7200","6.1900"
"Kuwait","124","5.6300","6.7500","6.1900"
"Morocco","127","5.9900","6.3700","6.1800"
"Belarus","128","6.0600","6.2300","6.1400"
"Oman","129","5.5100","6.7600","6.1300"
"Mozambique","130","6.6600","5.5000","6.0800"
"Azerbaijan","130","5.6800","6.4900","6.0800"
"Nigeria","132","5.8200","6.3200","6.0700"
"Guinea-Bissau","133","6.8600","5.2500","6.0500"
"Mali","134","6.0600","5.8000","5.9300"
"China","135","5.3500","6.4600","5.9100"
"Republic of the Congo","136","6.7800","5.0200","5.9000"
"Niger","137","5.7100","6.0100","5.8600"
"Bangladesh","138","5.3000","6.3000","5.8000"
"Brunei","138","4.6600","6.9300","5.8000"
"Pakistan","140","5.3200","6","5.6600"
"Guinea","141","5.3700","5.9300","5.6500"
"Angola","142","6.1100","5.1700","5.6400"
"Zimbabwe","143","5.1700","6.0600","5.6200"
"Cameroon","144","5.3300","5.8200","5.5800"
"Gabon","144","5.3200","5.8400","5.5800"
"Saudi Arabia","146","4.4400","6.5200","5.4800"
"Chad","147","5.5100","5.4400","5.4700"
"Mauritania","147","4.9900","5.9600","5.4700"
"Myanmar","149","5.4600","5.4200","5.4400"
"Ethiopia","150","5.0600","5.7300","5.4000"
"DR Congo","151","4.9500","5.6700","5.3100"
"Central African Republic","152","5.4700","5.1100","5.2900"
"Iran","153","4.5300","6.0300","5.2800"
"Burundi","154","4.4100","5.9200","5.1700"
"Algeria","155","5.2800","4.9900","5.1400"
"Egypt","156","3.8900","5.7200","4.8100"
"Sudan","157","4.2500","5.3600","4.8000"
"Libya","158","3.8800","4.7400","4.3100"
"Iraq","159","3.1200","5.4000","4.2600"
"Yemen","160","2.1700","6.3400","4.2500"
"Venezuela","161","5.5200","2.8800","4.2000"
"Syria","162","2.5100","5.0200","3.7700"
